FileRowID,LINE TYPE,CMS-70,CMS-70 NO VOLUME/NOT PERFORMED,CHARGE CODE/ PACKAGE,CHARGE DESCRIPTION,DRG,CPT,MODIFIERS,REV CODE,NDC,GROSS CHARGES,SELF PAY CASH PRICE,MIN NEGOTIATED RATE,MAX NEGOTIATED RATE,Aetna Commercial IP Rate,Aetna Commercial OP Rate,Aetna St Dominic Employee Group IP Rate,Aetna St Dominic Employee Group OP Rate,Blue Cross of Mississippi AHS IP Rate,Blue Cross of Mississippi AHS OP Rate,Blue Cross of Mississippi FMP IP Rate,Blue Cross of Mississippi FMP OP Rate,Cigna Commercial Plan IP Rate,Cigna Commercial Plan OP Rate,Cigna Medicare Advantange IP Rate,Cigna Medicare Advantange OP Rate,Humana ChoiceCare Commercial IP Rate,Humana ChoiceCare Commercial OP Rate,Humana ChoiceCare Medicare IP Rate,Humana ChoiceCare Medicare OP Rate,Magellan IP Rate,Magellan OP Rate,Magnolia Health Plan Allwell IP Rate,Magnolia Health Plan Allwell OP Rate,Magnolia Health Plan CHIP IP Rate,Magnolia Health Plan CHIP OP Rate,Magnolia Health Plan Medicaid IP Rate,Magnolia Health Plan Medicaid OP Rate,Medicare Advantage Miscellaneous Plans IP Rate,Medicare Advantage Miscellaneous Plans OP Rate,Medicare IP Rate,Medicare OP Rate,Mississippi Medicaid Traditional IP Rate,Mississippi Medicaid Traditional OP Rate,Molina Healthcare of Mississippi IP Rate,Molina Healthcare of Mississippi OP Rate,PHCS IP Rate,PHCS OP Rate,PPO Plus IP Rate,PPO Plus OP Rate,United Behavioral Health IP Rate,United Behavioral Health MSCAN IP Rate,United Behavioral Health MSCAN OP Rate,United Behavioral Health OP Rate,United Healthcare of Mississippi CAN IP Rate,United Healthcare of Mississippi CAN OP Rate,United Healthcare of Mississippi CHIP IP Rate,United Healthcare of Mississippi CHIP OP Rate,United Healthcare of Mississippi Commercial IP Rate,United Healthcare of Mississippi Commercial OP Rate,United Healthcare of Mississippi PPO IP Rate,United Healthcare of Mississippi PPO OP Rate,United Healthcare of Mississippi Select IP Rate,United Healthcare of Mississippi Select OP Rate,Windsor Health Plan IP Rate,Windsor Health Plan OP Rate
7684,CDM,,,7610034,CT NECK SOFT TISSUE W CONTRAST,NA,70491,N/A,350,NA,"$1,742.00",$557.44,$145.96,"$1,742.00",NA,$818.74,NA,$304.59,NA,$529.80,NA,$529.80,NA,$304.59,NA,$161.91,NA,$783.90,NA,$161.91,NA,NA,NA,$163.52,NA,$180.66,NA,$145.96,NA,$160.31,NA,$160.31,NA,$145.96,NA,$145.96,NA,$783.90,NA,$783.90,NA,NA,NA,NA,NA,$145.96,NA,$164.24,NA,$315.76,NA,$385.67,NA,$280.24,NA,$160.31
7602,CDM,,,8182257,CT CTA BRAIN W PERFUSION,NA,70496,N/A,350,NA,"$5,309.00","$1,698.88",$145.96,"$5,309.00",NA,"$2,495.23",NA,$304.59,NA,$529.80,NA,$529.80,NA,$304.59,NA,$161.91,NA,"$2,389.05",NA,$161.91,NA,NA,NA,$163.52,NA,$180.66,NA,$145.96,NA,$160.31,NA,$160.31,NA,$145.96,NA,$145.96,NA,"$2,389.05",NA,"$2,389.05",NA,NA,NA,NA,NA,$164.24,NA,$164.24,NA,$315.76,NA,$385.67,NA,$280.24,NA,$160.31
7633,CDM,,,7758597,CT CTA BRAIN,NA,70496,N/A,350,NA,"$3,418.00","$1,093.76",$145.96,"$3,418.00",NA,"$1,606.46",NA,$304.59,NA,$529.80,NA,$529.80,NA,$304.59,NA,$161.91,NA,"$1,538.10",NA,$161.91,NA,NA,NA,$163.52,NA,$180.66,NA,$145.96,NA,$160.31,NA,$160.31,NA,$145.96,NA,$145.96,NA,"$1,538.10",NA,"$1,538.10",NA,NA,NA,NA,NA,$164.24,NA,$164.24,NA,$315.76,NA,$385.67,NA,$280.24,NA,$160.31
7634,CDM,,,7616422,CT CTA BRAIN,NA,70496,N/A,350,NA,"$3,418.00","$1,093.76",$145.96,"$3,418.00",NA,"$1,606.46",NA,$304.59,NA,$529.80,NA,$529.80,NA,$304.59,NA,$161.91,NA,"$1,538.10",NA,$161.91,NA,NA,NA,$163.52,NA,$180.66,NA,$145.96,NA,$160.31,NA,$160.31,NA,$145.96,NA,$145.96,NA,"$1,538.10",NA,"$1,538.10",NA,NA,NA,NA,NA,$164.24,NA,$164.24,NA,$315.76,NA,$385.67,NA,$280.24,NA,$160.31
7623,CDM,,,7609791,CT CTA SOFT TISSUE NECK,NA,70498,N/A,350,NA,"$3,661.00","$1,171.52",$145.96,"$3,661.00",NA,"$1,720.67",NA,$304.59,NA,$529.80,NA,$529.80,NA,$304.59,NA,$161.91,NA,"$1,647.45",NA,$161.91,NA,NA,NA,$163.52,NA,$180.66,NA,$145.96,NA,$160.31,NA,$160.31,NA,$145.96,NA,$145.96,NA,"$1,647.45",NA,"$1,647.45",NA,NA,NA,NA,NA,$164.24,NA,$164.24,NA,$315.76,NA,$385.67,NA,$280.24,NA,$160.31
7624,CDM,,,7758601,CT CTA SOFT TISSUE NECK,NA,70498,N/A,350,NA,"$3,661.00","$1,171.52",$145.96,"$3,661.00",NA,"$1,720.67",NA,$304.59,NA,$529.80,NA,$529.80,NA,$304.59,NA,$161.91,NA,"$1,647.45",NA,$161.91,NA,NA,NA,$163.52,NA,$180.66,NA,$145.96,NA,$160.31,NA,$160.31,NA,$145.96,NA,$145.96,NA,"$1,647.45",NA,"$1,647.45",NA,NA,NA,NA,NA,$164.24,NA,$164.24,NA,$315.76,NA,$385.67,NA,$280.24,NA,$160.31
10887,CDM,,,7629375,MRA HEAD WO CONTRAST,NA,70544,N/A,615,NA,"$3,022.00",$967.04,$186.66,"$3,022.00",NA,"$1,420.34",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,359.90",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,359.90",NA,"$1,359.90",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10889,CDM,,,7629792,MRV HEAD WO CONTRAST,NA,70544,N/A,615,NA,"$3,022.00",$967.04,$186.66,"$3,022.00",NA,"$1,420.34",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,359.90",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,359.90",NA,"$1,359.90",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10888,CDM,,,7629396,MRA NECK WO CONTRAST,NA,70547,N/A,615,NA,"$3,022.00",$967.04,$186.66,"$3,022.00",NA,"$1,420.34",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,359.90",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,359.90",NA,"$1,359.90",NA,NA,NA,NA,NA,$186.66,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10856,CDM,,,7612628,MRI BRAIN DIFFUSION ONLY,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10857,CDM,,,7629477,MRI BRAIN IAC WO CONTRAST,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10858,CDM,,,7629489,MRI BRAIN MS WO CONTRAST,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10859,CDM,,,7629495,MRI BRAIN ORBITS WO CONTRAST,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10860,CDM,,,7629501,MRI BRAIN PITUITARY WO CONTRAST,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10861,CDM,,,7629516,MRI BRAIN STUDY LIMITED WO,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10862,CDM,,,7629507,MRI BRAIN SZ WO CONTRAST,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10863,CDM,,,7629522,MRI BRAIN WO CONTRAST,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10864,CDM,,,7629564,MRI FAST BRAIN WO CONTRAST,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10865,CDM,,,7629630,MRI IAC LIMITED WO,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10866,CDM,,,7629762,MRI TRIGEM CRANIAL NERVE WO CONTRAST,NA,70551,N/A,611,NA,"$3,670.00","$1,174.40",$186.66,"$3,670.00",NA,"$1,724.90",NA,$392.58,NA,$451.62,NA,$451.62,NA,$392.58,NA,$208.69,NA,"$1,651.50",NA,$208.69,NA,NA,NA,$210.75,NA,$206.47,NA,$186.66,NA,$206.62,NA,$206.62,NA,$186.66,NA,$186.66,NA,"$1,651.50",NA,"$1,651.50",NA,NA,NA,NA,NA,$187.70,NA,$187.70,NA,$403.82,NA,$493.23,NA,$357.12,NA,$206.62
10847,CDM,X,,7629474,MRI BRAIN GLIOMA WO W CONTRAST,NA,70553,N/A,611,NA,"$5,405.00","$1,729.60",$305.86,"$5,405.00",NA,"$2,540.35",NA,$627.97,NA,$852.68,NA,$852.68,NA,$627.97,NA,$333.82,NA,"$2,432.25",NA,$333.82,NA,NA,NA,$337.12,NA,$345.57,NA,$305.86,NA,$330.51,NA,$330.51,NA,$305.86,NA,$305.86,NA,"$2,432.25",NA,"$2,432.25",NA,NA,NA,NA,NA,$314.15,NA,$314.15,NA,$661.68,NA,$808.20,NA,$586.52,NA,$330.51
10848,CDM,X,,7629480,MRI BRAIN IAC WO W CONTRAST,NA,70553,N/A,611,NA,"$5,405.00","$1,729.60",$305.86,"$5,405.00",NA,"$2,540.35",NA,$627.97,NA,$852.68,NA,$852.68,NA,$627.97,NA,$333.82,NA,"$2,432.25",NA,$333.82,NA,NA,NA,$337.12,NA,$345.57,NA,$305.86,NA,$330.51,NA,$330.51,NA,$305.86,NA,$305.86,NA,"$2,432.25",NA,"$2,432.25",NA,NA,NA,NA,NA,$314.15,NA,$314.15,NA,$661.68,NA,$808.20,NA,$586.52,NA,$330.51
10849,CDM,X,,7629483,MRI BRAIN LAB PROTOCOL WO W CONTRAST,NA,70553,N/A,611,NA,"$5,405.00","$1,729.60",$305.86,"$5,405.00",NA,"$2,540.35",NA,$627.97,NA,$852.68,NA,$852.68,NA,$627.97,NA,$333.82,NA,"$2,432.25",NA,$333.82,NA,NA,NA,$337.12,NA,$345.57,NA,$305.86,NA,$330.51,NA,$330.51,NA,$305.86,NA,$305.86,NA,"$2,432.25",NA,"$2,432.25",NA,NA,NA,NA,NA,$314.15,NA,$314.15,NA,$661.68,NA,$808.20,NA,$586.52,NA,$330.51
10850,CDM,X,,7629492,MRI BRAIN MS WO W CONTRAST,NA,70553,N/A,611,NA,"$5,405.00","$1,729.60",$305.86,"$5,405.00",NA,"$2,540.35",NA,$627.97,NA,$852.68,NA,$852.68,NA,$627.97,NA,$333.82,NA,"$2,432.25",NA,$333.82,NA,NA,NA,$337.12,NA,$345.57,NA,$305.86,NA,$330.51,NA,$330.51,NA,$305.86,NA,$305.86,NA,"$2,432.25",NA,"$2,432.25",NA,NA,NA,NA,NA,$314.15,NA,$314.15,NA,$661.68,NA,$808.20,NA,$586.52,NA,$330.51
10851,CDM,X,,7629504,MRI BRAIN PITUITARY WO W CONTRAST,NA,70553,N/A,611,NA,"$5,405.00","$1,729.60",$305.86,"$5,405.00",NA,"$2,540.35",NA,$627.97,NA,$852.68,NA,$852.68,NA,$627.97,NA,$333.82,NA,"$2,432.25",NA,$333.82,NA,NA,NA,$337.12,NA,$345.57,NA,$305.86,NA,$330.51,NA,$330.51,NA,$305.86,NA,$305.86,NA,"$2,432.25",NA,"$2,432.25",NA,NA,NA,NA,NA,$314.15,NA,$314.15,NA,$661.68,NA,$808.20,NA,$586.52,NA,$330.51
10852,CDM,X,,7629513,MRI BRAIN STRYKER WO W CONTRAST,NA,70553,N/A,611,NA,"$5,405.00","$1,729.60",$305.86,"$5,405.00",NA,"$2,540.35",NA,$627.97,NA,$852.68,NA,$852.68,NA,$627.97,NA,$333.82,NA,"$2,432.25",NA,$333.82,NA,NA,NA,$337.12,NA,$345.57,NA,$305.86,NA,$330.51,NA,$330.51,NA,$305.86,NA,$305.86,NA,"$2,432.25",NA,"$2,432.25",NA,NA,NA,NA,NA,$314.15,NA,$314.15,NA,$661.68,NA,$808.20,NA,$586.52,NA,$330.51
10853,CDM,X,,7629510,MRI BRAIN SZ WO W CONTRAST,NA,70553,N/A,611,NA,"$5,405.00","$1,729.60",$305.86,"$5,405.00",NA,"$2,540.35",NA,$627.97,NA,$852.68,NA,$852.68,NA,$627.97,NA,$333.82,NA,"$2,432.25",NA,$333.82,NA,NA,NA,$337.12,NA,$345.57,NA,$305.86,NA,$330.51,NA,$330.51,NA,$305.86,NA,$305.86,NA,"$2,432.25",NA,"$2,432.25",NA,NA,NA,NA,NA,$314.15,NA,$314.15,NA,$661.68,NA,$808.20,NA,$586.52,NA,$330.51
10854,CDM,X,,7629525,MRI BRAIN WO W CONTRAST,NA,70553,N/A,611,NA,"$5,405.00","$1,729.60",$305.86,"$5,405.00",NA,"$2,540.35",NA,$627.97,NA,$852.68,NA,$852.68,NA,$627.97,NA,$333.82,NA,"$2,432.25",NA,$333.82,NA,NA,NA,$337.12,NA,$345.57,NA,$305.86,NA,$330.51,NA,$330.51,NA,$305.86,NA,$305.86,NA,"$2,432.25",NA,"$2,432.25",NA,NA,NA,NA,NA,$314.15,NA,$314.15,NA,$661.68,NA,$808.20,NA,$586.52,NA,$330.51
10855,CDM,X,,7629765,MRI TRIGEM CRANIAL NERVE WO W CONTRAST,NA,70553,N/A,611,NA,"$5,405.00","$1,729.60",$305.86,"$5,405.00",NA,"$2,540.35",NA,$627.97,NA,$852.68,NA,$852.68,NA,$627.97,NA,$333.82,NA,"$2,432.25",NA,$333.82,NA,NA,NA,$337.12,NA,$345.57,NA,$305.86,NA,$330.51,NA,$330.51,NA,$305.86,NA,$305.86,NA,"$2,432.25",NA,"$2,432.25",NA,NA,NA,NA,NA,$314.15,NA,$314.15,NA,$661.68,NA,$808.20,NA,$586.52,NA,$330.51
7475,CDM,,,8292196,ORX CHEST 1 V,NA,71045,N/A,324,NA,$392.00,$125.44,$50.72,$392.00,NA,$184.24,NA,$138.00,NA,$91.20,NA,$91.20,NA,$138.00,NA,$73.36,NA,$176.40,NA,$73.36,NA,NA,NA,$74.08,NA,$55.79,NA,$63.92,NA,$72.63,NA,$72.63,NA,$63.92,NA,$63.92,NA,$176.40,NA,$176.40,NA,NA,NA,NA,NA,$50.72,NA,$50.72,NA,$138.29,NA,$168.91,NA,$122.76,NA,$72.63
7476,CDM,,,7613225,ORX CHEST 1V,NA,71045,N/A,324,NA,$392.00,$125.44,$50.72,$392.00,NA,$184.24,NA,$138.00,NA,$91.20,NA,$91.20,NA,$138.00,NA,$73.36,NA,$176.40,NA,$73.36,NA,NA,NA,$74.08,NA,$55.79,NA,$63.92,NA,$72.63,NA,$72.63,NA,$63.92,NA,$63.92,NA,$176.40,NA,$176.40,NA,NA,NA,NA,NA,$50.72,NA,$50.72,NA,$138.29,NA,$168.91,NA,$122.76,NA,$72.63
